location,month,season,temp_max,temp_min,temp_avg,humidity,pressure,wind_speed,dew_point,rain_3days_ago,rain_2days_ago,rain_1day_ago,day_of_year,day_of_week,is_weekend,temp_range,temp_dew_diff,rain_history_sum,wind_direction_sin,wind_direction_cos
Khon_Kaen,10,Rainy,32.1,17.5,24.8,78.0,1006.3,6.7,17.5,1,1,1,279,5,1,14.600000000000001,0.0,3,,
Bangkok,10,Rainy,28.6,23.1,25.9,76.0,1005.4,10.5,23.1,1,1,1,298,3,0,5.5,0.0,3,0.7071067811865476,-0.7071067811865475
Phuket,1,Winter,28.6,22.5,25.6,78.1,1007.7,15.2,19.9,0,0,0,30,1,0,6.100000000000001,2.6000000000000014,0,-0.7071067811865477,0.7071067811865474
Bangkok,8,Rainy,29.3,22.0,25.7,81.9,1007.6,12.4,18.2,1,1,1,237,5,1,7.300000000000001,3.8000000000000007,3,1.2246467991473532e-16,-1.0
Bangkok,6,Rainy,27.7,20.1,23.9,92.5,1007.1,10.8,20.1,1,1,1,164,2,0,7.599999999999998,0.0,3,0.7071067811865476,-0.7071067811865475
Chiang_Mai,9,Rainy,30.4,15.6,23.0,92.1,1001.7,7.4,15.2,1,1,1,268,1,0,14.799999999999999,0.40000000000000036,3,0.7071067811865476,0.7071067811865476
Khon_Kaen,6,Rainy,30.7,17.1,23.9,87.1,1007.9,8.8,16.7,1,1,1,177,1,0,13.599999999999998,0.40000000000000213,3,-1.0,-1.8369701987210297e-16
Hat_Yai,6,Rainy,29.9,22.6,26.3,95.0,1010.9,8.4,20.8,1,1,1,174,5,1,7.299999999999997,1.8000000000000007,3,1.2246467991473532e-16,-1.0
Bangkok,10,Rainy,30.4,22.5,26.4,92.1,1010.9,10.1,22.5,1,1,1,279,5,1,7.899999999999999,0.0,3,-1.0,-1.8369701987210297e-16
Chiang_Mai,9,Rainy,29.9,19.2,24.5,95.0,996.0,2.3,19.2,1,1,1,258,5,1,10.7,0.0,3,0.0,1.0
Phuket,11,Winter,30.86987341772152,20.2,23.7,69.4,1005.2,14.5,20.2,1,1,1,331,1,0,10.669873417721522,0.0,3,,
Chiang_Mai,10,Rainy,35.8,18.9,27.4,82.3,999.8,3.0,16.8,1,1,1,300,5,1,16.9,2.099999999999998,3,1.2246467991473532e-16,-1.0
Khon_Kaen,1,Winter,28.2,16.1,22.1,71.5,1005.4,4.4,16.1,1,0,1,25,5,1,12.099999999999998,0.0,2,-0.7071067811865475,-0.7071067811865477
Hat_Yai,5,Summer,35.2,26.1,30.6,77.0,1010.9,13.3,25.6,1,0,0,129,2,0,9.100000000000001,0.5,1,1.0,6.123233995736766e-17
Khon_Kaen,12,Winter,26.9,21.9,24.4,62.4,1006.4,4.6,21.9,1,1,1,348,4,0,5.0,0.0,3,1.2246467991473532e-16,-1.0
Chiang_Mai,3,Summer,38.3,18.0,28.1,69.2,1000.6,7.0,18.0,1,1,1,66,2,0,20.299999999999997,0.0,3,0.7071067811865476,-0.7071067811865475
Phuket,9,Rainy,30.5,24.2,27.4,95.0,1008.0,12.070632911392405,24.2,1,1,1,270,3,0,6.300000000000001,0.0,3,0.7071067811865476,-0.7071067811865475
Chiang_Mai,3,Summer,32.7,23.6,28.1,69.6,1000.3,6.3,16.3,0,0,0,84,6,1,9.100000000000001,7.300000000000001,0,0.7071067811865476,0.7071067811865476
Hat_Yai,1,Winter,30.2,20.3,25.3,80.7,1009.1,9.7,20.3,0,0,0,14,6,1,9.899999999999999,0.0,0,0.0,1.0
Hat_Yai,6,Rainy,34.3,21.4,27.8,82.1,1010.3,10.7,21.4,1,1,1,177,1,0,12.899999999999999,0.0,3,1.0,6.123233995736766e-17
Phuket,4,Summer,35.4,25.5,30.4,78.9,1005.0,12.0,25.4,0,0,0,93,1,0,9.899999999999999,0.10000000000000142,0,0.7071067811865476,-0.7071067811865475
Bangkok,5,Summer,30.5,25.1,27.8,54.5,1012.6,7.6,25.1,0,1,1,142,1,0,5.399999999999999,0.0,2,-0.7071067811865477,0.7071067811865474
Khon_Kaen,10,Rainy,30.0,23.2,26.6,82.2,1006.3,4.7,16.0,1,1,1,303,1,0,6.800000000000001,7.199999999999999,3,-0.7071067811865475,-0.7071067811865477
Bangkok,11,Winter,24.5,20.9,22.7,54.6,1007.1,3.7,20.9,0,0,1,322,6,1,3.6000000000000014,0.0,1,1.0,6.123233995736766e-17
Hat_Yai,4,Summer,36.4,24.9,30.7,72.2,1009.0,11.7,21.79794871794872,0,1,0,93,1,0,11.5,3.102051282051278,1,,
Khon_Kaen,7,Rainy,29.6,24.1,26.9,70.3,1000.9,3.4,19.5,1,1,1,203,6,1,5.5,4.600000000000001,3,0.7071067811865476,0.7071067811865476
Bangkok,2,Winter,29.2,20.3,24.7,62.7,1007.8,5.8,19.2,1,1,0,41,5,1,8.899999999999999,1.1000000000000014,2,0.7071067811865476,-0.7071067811865475
Hat_Yai,3,Summer,36.4,25.7,31.0,71.6,1008.5,6.0,21.2,0,0,0,66,2,0,10.7,4.5,0,0.0,1.0
Khon_Kaen,5,Summer,32.4,25.7,29.0,58.9,1009.9,3.3,18.0,1,1,1,141,0,0,6.699999999999999,7.699999999999999,3,-1.0,-1.8369701987210297e-16
Chiang_Mai,1,Winter,28.0,16.2,22.1,72.3,1005.1,6.020769230769231,15.1,1,0,0,21,1,0,11.8,1.0999999999999996,1,-0.7071067811865475,-0.7071067811865477
Bangkok,10,Rainy,30.5,20.5,25.5,83.4,1008.4,10.5,20.5,1,1,1,287,6,1,10.0,0.0,3,0.0,1.0
Khon_Kaen,5,Summer,37.2,25.2,31.2,63.2,1003.3,9.8,21.0,1,0,1,136,2,0,12.000000000000004,4.199999999999999,2,0.0,1.0
Chiang_Mai,4,Summer,38.4,19.6,29.0,40.0,996.9,6.8,19.6,1,0,0,97,5,1,18.799999999999997,0.0,1,1.0,6.123233995736766e-17
Chiang_Mai,12,Winter,30.6,16.6,23.6,63.9,1005.8,9.0,16.6,1,1,1,365,0,0,14.0,0.0,3,-0.7071067811865475,-0.7071067811865477
Hat_Yai,3,Summer,33.9,25.5,29.7,59.2,1006.5,11.1,24.8,0,0,1,70,6,1,8.399999999999999,0.6999999999999993,1,0.7071067811865476,-0.7071067811865475
Phuket,4,Summer,34.4,26.1,30.2,64.6,1009.4,6.5,26.1,0,1,0,104,5,1,8.299999999999997,0.0,1,-0.7071067811865475,-0.7071067811865477
Phuket,10,Rainy,29.2,24.3,26.8,90.5,1004.1,16.9,22.4,1,1,1,285,4,0,4.899999999999999,1.9000000000000021,3,-1.0,-1.8369701987210297e-16
Chiang_Mai,6,Rainy,30.7,18.8,24.8,62.9,1000.5,2.5,17.6,1,1,1,158,3,0,11.899999999999999,1.1999999999999993,3,-0.7071067811865475,-0.7071067811865477
Chiang_Mai,1,Winter,29.2,20.3,24.8,79.2,1005.9,2.7,13.1,1,0,0,28,1,0,8.899999999999999,7.200000000000001,1,-0.7071067811865477,0.7071067811865474
Phuket,2,Winter,30.9,21.1,26.0,83.5,1010.3,12.4,21.1,1,1,1,44,1,0,9.799999999999997,0.0,3,0.7071067811865476,0.7071067811865476
Hat_Yai,1,Winter,30.7,22.4,26.6,81.5,1012.6,5.5,18.8,0,0,0,29,2,0,8.3,3.599999999999998,0,-0.7071067811865477,0.7071067811865474
Bangkok,4,Summer,34.0,27.1,30.6,71.58807106598985,1009.2,7.8,26.2,1,0,1,105,6,1,6.899999999999999,0.9000000000000021,2,0.0,1.0
Hat_Yai,1,Winter,28.9,22.5,25.7,68.7,1012.2,8.0,22.3,1,1,1,22,0,0,6.399999999999999,0.1999999999999993,3,-0.7071067811865475,-0.7071067811865477
Phuket,5,Summer,35.3,25.9,30.6,66.7,1009.9,6.7,23.0,1,0,0,137,3,0,9.399999999999999,2.8999999999999986,1,-1.0,-1.8369701987210297e-16
Khon_Kaen,1,Winter,27.5,22.1,24.8,58.7,1008.7,5.5,15.3,0,1,0,28,1,0,5.399999999999999,6.800000000000001,1,-0.7071067811865477,0.7071067811865474
Hat_Yai,8,Rainy,31.4,24.4,27.9,93.2,1008.3,13.2,21.9,1,1,1,244,5,1,7.0,2.5,3,0.7071067811865476,0.7071067811865476
Bangkok,10,Rainy,27.7,20.5,24.1,73.4,1005.2,10.9,20.3,1,1,1,291,3,0,7.199999999999999,0.1999999999999993,3,-1.0,-1.8369701987210297e-16
Khon_Kaen,3,Summer,37.5,21.8,29.7,65.4,1002.6,8.8,21.8,0,1,0,89,4,0,15.7,0.0,1,1.0,6.123233995736766e-17
Hat_Yai,10,Rainy,34.3,22.9,28.6,93.4,1010.0,12.7,22.9,1,1,1,294,6,1,11.399999999999999,0.0,3,0.7071067811865476,-0.7071067811865475
Hat_Yai,1,Winter,27.9,19.9,23.9,81.0,1006.3,5.6,18.7,0,0,0,9,3,0,8.0,1.1999999999999993,0,1.2246467991473532e-16,-1.0
Khon_Kaen,2,Winter,29.1,18.6,23.8,67.9,1006.3,9.6,17.8,1,0,0,44,1,0,10.5,0.8000000000000007,1,1.2246467991473532e-16,-1.0
Khon_Kaen,6,Rainy,33.2,20.9,27.0,76.5,1002.8,10.2,20.9,1,1,1,169,0,0,12.300000000000004,0.0,3,0.7071067811865476,-0.7071067811865475
Hat_Yai,5,Summer,34.7,27.4,31.0,68.7,1012.9,7.2,21.5,0,0,1,135,1,0,7.300000000000004,5.899999999999999,1,-1.0,-1.8369701987210297e-16
Bangkok,1,Winter,26.1,18.1,22.1,72.0,1012.1,12.3,18.1,0,0,0,12,4,0,8.0,0.0,0,0.7071067811865476,-0.7071067811865475
Bangkok,11,Winter,24.9,21.7,23.3,77.5,1014.5,9.3,20.4,1,1,1,306,4,0,3.1999999999999993,1.3000000000000007,3,1.2246467991473532e-16,-1.0
Chiang_Mai,10,Rainy,32.4,18.70556962025316,23.7,67.36464646464646,997.2,3.4,15.0,1,1,1,298,3,0,13.694430379746837,3.7055696202531614,3,-1.0,-1.8369701987210297e-16
Hat_Yai,1,Winter,31.2,22.8,27.0,79.5,1005.9,14.8,20.1,0,0,0,8,0,0,8.399999999999999,2.6999999999999993,0,0.7071067811865476,0.7071067811865476
Hat_Yai,12,Winter,29.8,20.1,25.0,76.8,1010.4,7.0,20.1,1,1,1,337,0,0,9.7,0.0,3,1.2246467991473532e-16,-1.0
Phuket,1,Winter,29.4,22.0,25.7,73.8,1007.2,15.5,19.5,1,1,1,27,0,0,7.399999999999999,2.5,3,,
Bangkok,11,Winter,27.6,18.5,23.1,60.5,1005.5,11.2,18.5,0,1,0,332,2,0,9.100000000000001,0.0,1,1.2246467991473532e-16,-1.0
Khon_Kaen,12,Winter,30.1,19.9,25.0,59.6,1005.7,11.0,18.0,0,1,1,345,1,0,10.200000000000003,1.8999999999999986,2,-0.7071067811865475,-0.7071067811865477
Chiang_Mai,3,Summer,34.1,26.8,30.4,41.5,999.5,6.5,15.4,0,0,0,73,2,0,7.300000000000001,11.4,0,0.7071067811865476,-0.7071067811865475
Chiang_Mai,2,Winter,29.1,13.849999999999998,20.6,77.6,1002.5,7.9,12.1,0,0,1,42,6,1,15.250000000000004,1.7499999999999982,1,-0.7071067811865475,-0.7071067811865477
Phuket,1,Winter,31.0,21.6,26.3,65.5,1005.2,17.8,19.9,0,0,1,25,3,0,9.399999999999999,1.7000000000000028,1,0.0,1.0
Chiang_Mai,9,Rainy,33.8,14.6,24.2,66.3,1002.1,5.8,14.6,1,1,1,254,1,0,19.199999999999996,0.0,3,1.2246467991473532e-16,-1.0
Chiang_Mai,9,Rainy,34.1,17.6,25.9,68.0,1003.2,3.0,17.6,1,1,1,272,5,1,16.5,0.0,3,0.0,1.0
Phuket,1,Winter,30.5,20.7,25.6,84.7,1008.4,12.8,20.7,0,1,0,22,2,0,9.8,0.0,1,1.2246467991473532e-16,-1.0
Hat_Yai,12,Winter,28.0,22.5,25.3,80.3,1005.6,7.5,21.3,0,0,0,351,0,0,5.5,1.1999999999999993,0,-1.0,-1.8369701987210297e-16
Phuket,9,Rainy,29.7,22.4,26.1,95.0,1010.4,15.5,21.4,1,1,1,266,6,1,7.300000000000001,1.0,3,-0.7071067811865477,0.7071067811865474
Hat_Yai,6,Rainy,33.4,21.7,27.5,90.7,1005.2,14.2,20.3,0,1,1,153,5,1,11.7,1.3999999999999986,2,-0.7071067811865475,-0.7071067811865477
Phuket,12,Winter,30.86987341772152,20.4,24.9,77.0,1005.5,14.5,22.777179487179485,0,1,1,337,0,0,10.469873417721523,-2.377179487179486,2,-0.7071067811865475,-0.7071067811865477
Bangkok,10,Rainy,31.1,23.6,27.4,89.6,1006.5,11.9,19.7,1,1,1,276,2,0,7.5,3.900000000000002,3,-1.0,-1.8369701987210297e-16
Chiang_Mai,1,Winter,31.9,17.7,24.8,62.5,995.9,10.0,13.0,1,0,1,10,2,0,14.2,4.699999999999999,2,-1.0,-1.8369701987210297e-16
Hat_Yai,8,Rainy,33.1,24.8,29.0,82.7,1011.6,13.0,20.6,1,1,1,222,4,0,8.3,4.199999999999999,3,0.0,1.0
Bangkok,1,Winter,27.1,21.6,24.3,64.8,1009.4,11.7,18.4,0,0,0,2,1,0,5.5,3.200000000000003,0,0.7071067811865476,-0.7071067811865475
Chiang_Mai,3,Summer,34.5,18.70556962025316,27.0,67.0,995.4499999999999,4.9,19.6,1,1,0,90,5,1,15.794430379746839,-0.89443037974684,2,,
Khon_Kaen,5,Summer,36.9,23.7,30.3,68.90435897435897,1007.3,7.085411140583554,18.737903225806452,0,1,0,128,1,0,13.2,4.962096774193547,1,-1.0,-1.8369701987210297e-16
Phuket,5,Summer,35.4,28.6,32.0,68.9,1009.4,12.0,24.4,0,0,1,138,4,0,6.799999999999997,4.200000000000003,1,0.7071067811865476,0.7071067811865476
Chiang_Mai,9,Rainy,31.0,16.6,23.8,76.1,1003.3,7.4,16.6,1,1,1,264,4,0,14.399999999999999,0.0,3,-0.7071067811865475,-0.7071067811865477
Bangkok,11,Winter,26.8,19.1,23.0,69.5,1014.0,4.2,19.1,1,0,0,324,1,0,7.699999999999999,0.0,1,1.0,6.123233995736766e-17
Hat_Yai,10,Rainy,29.9,21.5,25.7,85.5,1011.5,11.1,20.4,1,1,1,278,4,0,8.399999999999999,1.1000000000000014,3,0.7071067811865476,-0.7071067811865475
Hat_Yai,10,Rainy,31.5,24.7,28.1,92.4,1005.5,5.9,21.3,1,1,1,292,4,0,6.800000000000001,3.3999999999999986,3,-0.7071067811865477,0.7071067811865474
Bangkok,1,Winter,24.4,22.4,23.4,66.0,1014.7,7.4,22.4,1,0,0,4,5,1,2.0,0.0,1,1.0,6.123233995736766e-17
Khon_Kaen,1,Winter,31.9,22.1,27.0,71.5,1001.4,7.8,20.0,1,1,1,20,5,1,9.799999999999997,2.1000000000000014,3,-1.0,-1.8369701987210297e-16
Hat_Yai,11,Winter,32.2,19.4,25.8,74.0,1009.6,11.1,19.4,1,1,1,306,4,0,12.800000000000004,0.0,3,-0.7071067811865477,0.7071067811865474
Bangkok,7,Rainy,31.2,21.6,26.4,89.6,1009.0,4.7,17.6,1,1,1,210,6,1,9.599999999999998,4.0,3,0.7071067811865476,-0.7071067811865475
Phuket,10,Rainy,31.3,24.6,27.9,89.3,1005.5,14.8,22.8,1,1,1,282,1,0,6.699999999999999,1.8000000000000007,3,-0.7071067811865477,0.7071067811865474
Khon_Kaen,11,Winter,29.3,20.0,24.6,63.1,1002.9,6.6,18.4,1,1,0,332,2,0,9.3,1.6000000000000014,2,0.7071067811865476,0.7071067811865476
Khon_Kaen,9,Rainy,31.2,21.1,26.2,69.8,1006.4,5.7,17.0,1,1,1,264,4,0,10.099999999999998,4.100000000000001,3,0.0,1.0
Hat_Yai,10,Rainy,30.8,21.6,26.2,94.0,1008.2,14.1,21.2,1,1,1,283,2,0,9.2,0.40000000000000213,3,1.2246467991473532e-16,-1.0
Bangkok,5,Summer,33.3,26.4,29.8,70.1,1013.3,12.7,20.8,0,0,0,122,2,0,6.899999999999999,5.599999999999998,0,-0.7071067811865475,-0.7071067811865477
Hat_Yai,4,Summer,33.0,26.7,29.8,65.5,1011.9,13.4,24.0,0,0,0,119,6,1,6.300000000000001,2.6999999999999993,0,1.0,6.123233995736766e-17
Bangkok,3,Summer,31.2,25.5,28.4,59.7,1009.8567430025446,10.7,25.5,0,1,0,80,2,0,5.699999999999999,0.0,1,0.0,1.0
Phuket,3,Summer,34.7,25.7,30.2,68.1,1005.5,9.2,24.9,0,0,1,76,5,1,9.000000000000004,0.8000000000000007,1,1.2246467991473532e-16,-1.0
Phuket,3,Summer,33.2,27.9,30.6,78.3,1007.5,16.7,26.9,0,0,0,64,0,0,5.300000000000004,1.0,0,0.7071067811865476,0.7071067811865476
Hat_Yai,10,Rainy,31.0,23.9,27.5,95.0,1011.0,10.0,20.3,1,1,1,301,6,1,7.100000000000001,3.599999999999998,3,0.7071067811865476,0.7071067811865476
Bangkok,2,Winter,26.8,21.5,24.1,61.7,1008.0,8.7,21.4,0,0,0,48,5,1,5.300000000000001,0.10000000000000142,0,-0.7071067811865477,0.7071067811865474
Chiang_Mai,4,Summer,35.3,23.3,29.3,40.0,998.5,7.4,19.5,0,0,1,92,0,0,11.999999999999996,3.8000000000000007,1,-0.7071067811865475,-0.7071067811865477
Phuket,9,Rainy,30.1,22.6,26.3,90.3,1010.8,15.1,22.6,1,1,1,262,2,0,7.5,0.0,3,-0.7071067811865477,0.7071067811865474
Hat_Yai,6,Rainy,34.2,22.1,28.2,93.1,1007.1,5.9,22.1,1,1,1,170,1,0,12.100000000000001,0.0,3,0.0,1.0
Hat_Yai,12,Winter,28.7,20.7,24.7,63.2,1007.9,6.8,20.7,1,1,1,361,3,0,8.0,0.0,3,-1.0,-1.8369701987210297e-16
Hat_Yai,4,Summer,37.1,25.0,31.0,73.6,1008.7,7.4,25.0,1,1,1,109,3,0,12.100000000000001,0.0,3,-0.7071067811865477,0.7071067811865474
Chiang_Mai,10,Rainy,34.6,15.4,25.0,79.5,1002.7,6.3,15.4,1,1,1,304,2,0,19.200000000000003,0.0,3,1.0,6.123233995736766e-17
Phuket,6,Rainy,31.5,24.0,27.8,95.0,1011.3,12.9,24.0,1,1,1,157,2,0,7.5,0.0,3,1.2246467991473532e-16,-1.0
Phuket,10,Rainy,31.8,22.8,27.3,95.0,1005.5,7.7,22.8,1,1,1,301,6,1,9.0,0.0,3,0.0,1.0
Bangkok,1,Winter,27.8,20.4,24.1,72.2,1009.8,11.7,19.3,0,0,0,20,0,0,7.400000000000002,1.0999999999999979,0,0.7071067811865476,0.7071067811865476
Phuket,3,Summer,33.4,27.0,30.2,66.1,1006.9,12.6,24.1,0,0,1,61,4,0,6.399999999999999,2.8999999999999986,1,1.0,6.123233995736766e-17
Khon_Kaen,5,Summer,33.7,26.0,29.9,68.6,1005.0,8.3,20.7,0,0,0,123,3,0,7.700000000000003,5.300000000000001,0,0.7071067811865476,-0.7071067811865475
Chiang_Mai,6,Rainy,31.5,20.0,25.7,85.2,998.0,4.1,15.9,1,1,1,174,5,1,11.5,4.1,3,0.0,1.0
Khon_Kaen,8,Rainy,32.1,20.5,26.3,75.7,1004.2,6.9,18.737903225806452,1,1,1,237,5,1,11.600000000000001,1.762096774193548,3,-0.7071067811865475,-0.7071067811865477
Bangkok,6,Rainy,32.0,21.0,26.5,86.5,1013.0,6.8,20.6,1,1,1,163,1,0,11.0,0.3999999999999986,3,0.7071067811865476,-0.7071067811865475
Chiang_Mai,9,Rainy,31.7,23.2,27.5,71.7,996.4,6.6,13.7,1,1,1,274,0,0,8.5,9.5,3,-1.0,-1.8369701987210297e-16
Khon_Kaen,1,Winter,33.4,17.1,25.3,79.6,1000.1,9.1,17.1,0,0,1,13,0,0,16.299999999999997,0.0,1,-0.7071067811865475,-0.7071067811865477
Phuket,10,Rainy,31.2,22.7,26.9,95.0,1008.1,11.9,22.7,1,1,1,279,5,1,8.5,0.0,3,0.7071067811865476,0.7071067811865476
Chiang_Mai,8,Rainy,32.0,15.8,23.9,73.7,1003.0,9.8,14.7,1,1,1,231,6,1,16.2,1.1000000000000014,3,0.0,1.0
Khon_Kaen,4,Summer,35.1,23.0,29.0,62.8,1001.4,6.5,20.6,1,1,0,108,2,0,12.100000000000001,2.3999999999999986,2,-1.0,-1.8369701987210297e-16
Phuket,7,Rainy,31.7,25.7,28.7,94.5,1011.4,15.5,25.7,1,1,1,204,0,0,6.0,0.0,3,-1.0,-1.8369701987210297e-16
Phuket,6,Rainy,30.5,22.8,26.7,95.0,1008.2,15.0,22.8,1,1,1,181,5,1,7.699999999999999,0.0,3,0.0,1.0
Hat_Yai,4,Summer,35.7,25.1,30.4,71.3,1008.4,8.3,25.1,1,1,0,110,4,0,10.600000000000001,0.0,2,1.0,6.123233995736766e-17
Phuket,3,Summer,33.7,27.9,30.8,80.0763959390863,1010.2,12.070632911392405,25.2,0,0,0,67,3,0,5.800000000000004,2.6999999999999993,0,,
Hat_Yai,2,Winter,30.6,21.0,25.8,61.7,1011.0,9.1,21.0,0,0,0,38,2,0,9.600000000000001,0.0,0,1.2246467991473532e-16,-1.0
Hat_Yai,1,Winter,30.1,20.2,25.1,68.7,1007.1,7.6,20.2,0,0,0,9,1,0,9.900000000000002,0.0,0,0.0,1.0
Phuket,7,Rainy,29.0,24.3,26.6,94.3,1010.1,10.8,20.9,1,1,1,185,2,0,4.699999999999999,3.400000000000002,3,0.7071067811865476,0.7071067811865476
Phuket,5,Summer,35.8,27.0,31.4,64.8,1011.4,17.6,27.0,0,1,1,139,5,1,8.799999999999997,0.0,2,-1.0,-1.8369701987210297e-16
Chiang_Mai,3,Summer,37.6,25.1,31.4,41.0,999.4,7.7,18.1,0,0,1,79,1,0,12.5,7.0,1,-0.7071067811865475,-0.7071067811865477
Chiang_Mai,7,Rainy,35.0,16.3,25.7,95.0,995.4499999999999,8.0,15.9,1,1,1,199,2,0,18.7,0.40000000000000036,3,0.7071067811865476,0.7071067811865476
Chiang_Mai,9,Rainy,29.5,15.7,22.6,94.2,995.4499999999999,7.4,15.7,1,1,1,253,0,0,13.8,0.0,3,1.2246467991473532e-16,-1.0
Chiang_Mai,4,Summer,37.8,21.9,29.9,65.0,996.9,5.1,21.1,0,0,0,115,2,0,15.899999999999999,0.7999999999999972,0,1.0,6.123233995736766e-17
Hat_Yai,2,Winter,31.8,19.2,25.5,65.3,1006.2,12.1,19.2,0,1,0,45,2,0,12.600000000000001,0.0,1,0.7071067811865476,-0.7071067811865475
Bangkok,4,Summer,29.1,26.2,27.6,45.2,1005.8,9.6,19.7,0,0,0,121,1,0,2.900000000000002,6.5,0,-1.0,-1.8369701987210297e-16
Hat_Yai,4,Summer,32.7,26.1,29.4,77.7,1010.1,8.9,26.1,0,0,1,102,3,0,6.600000000000001,0.0,1,-0.7071067811865477,0.7071067811865474
Phuket,2,Winter,29.2,20.9,25.0,72.6,1008.3,12.7,19.9,1,1,0,34,5,1,8.3,1.0,2,-0.7071067811865477,0.7071067811865474
Bangkok,12,Winter,27.4,20.1,23.8,62.4,1005.6,10.7,20.1,0,0,0,366,1,0,7.299999999999997,0.0,0,0.7071067811865476,0.7071067811865476
Chiang_Mai,3,Summer,36.7,22.5,29.6,65.3,997.9,4.3,16.2,0,0,0,78,0,0,14.200000000000003,6.300000000000001,0,1.0,6.123233995736766e-17
Phuket,5,Summer,35.5,28.9,32.2,75.5,1008.8,11.8,26.7,1,1,1,150,2,0,6.600000000000001,2.1999999999999993,3,0.7071067811865476,-0.7071067811865475
Chiang_Mai,6,Rainy,30.7,16.0,23.4,94.0,998.0,3.7,16.0,1,1,1,156,1,0,14.7,0.0,3,0.0,1.0
Khon_Kaen,7,Rainy,30.8,24.9,27.9,70.5,1008.8,10.2,20.9,1,1,1,210,6,1,5.900000000000002,4.0,3,0.0,1.0
Chiang_Mai,11,Winter,32.4,14.4,23.4,66.7,995.4499999999999,6.3,14.4,1,1,1,323,0,0,18.0,0.0,3,0.0,1.0
Hat_Yai,5,Summer,32.5,24.6,28.6,73.4,1005.0,12.9,22.3,1,0,0,147,6,1,7.899999999999999,2.3000000000000007,1,1.2246467991473532e-16,-1.0
Khon_Kaen,1,Winter,31.2,22.1,26.6,72.9,1008.5,3.6,15.2,0,0,1,16,1,0,9.099999999999998,6.900000000000002,1,1.0,6.123233995736766e-17
Chiang_Mai,4,Summer,31.4,21.9,26.6,56.8,1004.0,9.1,20.3,0,0,0,119,6,1,9.5,1.5999999999999979,0,0.0,1.0
Phuket,7,Rainy,31.6,25.0,28.3,95.0,1010.7,14.8,25.0,1,1,1,191,1,0,6.600000000000001,0.0,3,-0.7071067811865475,-0.7071067811865477
Phuket,1,Winter,30.4,21.1,25.7,72.1,1011.3,16.5,21.1,0,0,1,24,4,0,9.299999999999997,0.0,1,0.7071067811865476,-0.7071067811865475
Bangkok,1,Winter,26.4,19.1,22.8,57.1,1013.5,7.1,16.6,0,0,0,14,6,1,7.299999999999997,2.5,0,1.0,6.123233995736766e-17
Bangkok,12,Winter,25.4,19.6,22.5,52.5,1014.3,7.0,19.6,1,0,1,340,3,0,5.799999999999997,0.0,2,1.0,6.123233995736766e-17
Phuket,9,Rainy,29.8,22.8,26.3,94.9,1005.4,12.4,20.7,1,1,1,256,3,0,7.0,2.1000000000000014,3,0.0,1.0
Khon_Kaen,3,Summer,38.1,27.6,32.8,58.2,1003.2,9.0,21.5,0,0,0,85,0,0,10.5,6.100000000000001,0,0.7071067811865476,-0.7071067811865475
